"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CCNL2",0.0781541223926977,3.45195307724431,0.344385970352725,0.730798608333948,0.855884137574364,-7.19198155388393
"MAD2L1BP",0.105211471445827,5.90456275388802,0.343585578916997,0.731399925269893,0.856474560377832,-7.19225632799525
"FBXO6",-0.0969424906343096,2.96981070317699,-0.34295846752621,0.731871176534102,0.856912538700019,-7.19247116877127
"TMEM254A",-0.033878280443696,0.200131525854655,-0.342649768126434,0.732103190187712,0.857070326132346,-7.192576781411
"ARID3B",0.0454831854705961,0.502210902940503,0.342512840125149,0.73220611101951,0.857076963264038,-7.19262359697215
"RNF20",-0.0598399152552927,5.44887545196785,-0.34195322083714,0.732626794668068,0.857455503507262,-7.19281473594689
"ARHGEF3",0.0820176012434156,1.60279540190289,0.341366179070129,0.733068179447446,0.857858168300404,-7.19301490548387
"GSPT1",-0.0458392312587905,4.7226299623471,-0.340889524198609,0.733426631834829,0.858163689107852,-7.1931771824852
"FRG1",0.053376006403326,7.05653624165062,0.34033555218264,0.733843301399256,0.858498822622597,-7.19336549740501
"INTS5",0.0678733474089721,1.37045165520354,0.34024970532313,0.733907878093572,0.858498822622597,-7.19339465243854
"EIF2S1",-0.0201609309258994,8.2693844899997,-0.339626517768758,0.734376715963123,0.858933244563106,-7.19360607706514
"CXXC1",-0.0754431453762435,1.70956669760305,-0.339415106573771,0.734535787929898,0.859005294456766,-7.19367771313317
"ACADSB",0.0835056085031139,1.58406506538441,0.339035672623173,0.734821313841324,0.859105323049318,-7.19380617143859
"FAM134C",0.0561390673815615,0.564169214082809,0.339016527095215,0.734835721921836,0.859105323049318,-7.19381264939958
"E130308A19RIK",0.0530141867882634,0.671866534817017,0.338792071674415,0.73500464417314,0.859105323049318,-7.19388856746738
"PDS5A",-0.067164292915663,3.72842852362534,-0.338710969328544,0.735065683920523,0.859105323049318,-7.19391598654182
"NIT2",-0.0912063859756841,3.99421009743029,-0.338653775622418,0.735108730411314,0.859105323049318,-7.19393531864132
"CHKA",-0.0506939929746653,0.541332944354735,-0.338065279075355,0.735551707262442,0.859218460557527,-7.19413404745385
"ARHGEF18",0.0352416711364193,0.21754823960127,0.337990478208002,0.735608018180453,0.859218460557527,-7.19415928214479
"OXSM",-0.0583795137648544,0.774853597720142,-0.33795454319669,0.735635070961117,0.859218460557527,-7.19417140313375
"ZFP954",-0.105845061981006,2.39272838949292,-0.337921691480511,0.735659802847947,0.859218460557527,-7.19418248299105
"HIST1H2BL",0.0504777266537377,0.451312735059053,0.337877581584502,0.735693010707715,0.859218460557527,-7.19419735818793
"ZADH2",0.0490843014390013,0.619765800327177,0.337209515193604,0.73619602097733,0.859447038605129,-7.1944224132317
"EIF5",0.0351562577296052,5.72797665689484,0.337103226305836,0.736276060039451,0.859447038605129,-7.19445817828939
"BTBD10",0.0862784686738017,1.82829010435676,0.337037470992154,0.736325577414469,0.859447038605129,-7.19448029859823
"GM9803",-0.138533568648873,3.44104214978475,-0.33698308411712,0.736366534560353,0.859447038605129,-7.1944985912679
"PNP",0.052138195900325,6.62851940000655,0.336970078102053,0.73637632911691,0.859447038605129,-7.19450296531894
